"name","regex"
"url1","(http[^ ]*)|(ftp[^ ]*)|(www\\.[^ ]*)"
"url2","(((https?|ftps?)://)|(www\\.))(-\\.)?([^\\s/?\\.#-]+\\.?)+(/[^\\s]*)?"
"url3","(https?|ftps?)://(-\\.)?([^\\s/?\\.#-]+\\.?)+(/[^\\s]*)?"
"figshare","(figshare[^ ]*)|(10\\.6084[^ ]*)"
"dryad","(datadryad[^ ]*)|(10\\.5061[^ ]*)"
"zenodo","(zenodo[^ ]*)|(10\\.5281[^ ]*)"
"dataverse","(dataverse[^ ]*)|(10\\.7910[^ ]*)"
"dataversenl","(10\\.34894[^ ]*)"
"osf","(osf[^ ]*)|(10\\.17605[^ ]*)"
"mendeley","(data\\.mendeley[^ ]*)|(10\\.17632[^ ]*)"
"gigadb","(gigadb[^ ]*)|(10\\.5524[^ ]*)"
"openneuro","(openneuro[^ ]*)|(10\\.18112[^ ]*)"
